                                      AC	                         Adelino Pereira	  5
                                    IPRP	                           Rui Casaleiro	 12
                                    IPRP	                           Sofia Botelho	 13
                                    IPRP	                             Ze Teixeira	  3
                                     IRC	                         Adelino Pereira	 10
                                     IRC	                              Eva Filipe	 17
                                     IRC	                            Filipe Viana	 14
                                     IRC	                               Jonas Rua	 20
                                     IRC	                          Paulo Cortesao	 15
                                     IRC	                           Sofia Botelho	  7
                                     IRC	                             Ze Teixeira	  9
                                    MULT	                         Adelino Pereira	 11
                                    MULT	                               Ana Silva	 13
                                    MULT	                            Joana Simoes	 16
                                    MULT	                              Joao Artur	 20
                                    MULT	                          Paulo Cortesao	 18
                                    MULT	                             Paulo Rocha	  3
                                      PC	                         Adelino Pereira	  6
                                      PC	                          Duarte Meneses	  8
                                      PC	                            Filipe Viana	  8
                                      PC	                            Joana Simoes	 20
                                      PC	                          Paulo Cortesao	  9
                                     POO	                         Adelino Pereira	  8
                                     POO	                               Ana Silva	 14
                                     POO	                          Duarte Meneses	  8
                                     POO	                              Eva Filipe	 11
                                     POO	                            Joana Simoes	 20
                                     POO	                              Joao Artur	 15
                                     POO	                          Paulo Cortesao	 10
                                     POO	                             Pedro Faria	  7
                                     POO	                           Rui Casaleiro	 14
                                     POO	                           Sofia Botelho	 12
                                     POO	                             Ze Teixeira	  9
                                     PPP	                         Adelino Pereira	 11
                                     PPP	                               Ana Silva	  7
                                     PPP	                              Joao Artur	 18
                                     PPP	                               Jonas Rua	 10
                                     PPP	                          Paulo Cortesao	  9
                                     PPP	                             Paulo Rocha	 10
                                     PPP	                             Pedro Faria	  5
                                     PPP	                           Rui Casaleiro	 14
                                     PPP	                           Sofia Botelho	 20
                                     PPP	                             Ze Teixeira	  6
                                     SCC	                              Eva Filipe	 16
                                     SCC	                              Joao Artur	 14
                                     SCC	                               Jonas Rua	 17
                                     SCC	                             Pedro Faria	 17
                                     SCC	                           Rui Casaleiro	 15
                                     SCC	                           Sofia Botelho	 12
                                     SCC	                             Ze Teixeira	 12
                                      SO	                               Ana Silva	 11
                                      SO	                          Duarte Meneses	 15
                                      SO	                              Eva Filipe	 16
                                      SO	                            Joana Simoes	 18
                                      SO	                              Joao Artur	 16
                                      SO	                               Jonas Rua	 15
                                      SO	                          Paulo Cortesao	 16
                                      SO	                           Rui Casaleiro	 14
                                      SO	                             Ze Teixeira	  4
                                      TC	                         Adelino Pereira	 17
                                      TC	                               Ana Silva	 16
                                      TC	                          Duarte Meneses	 13
                                      TC	                              Eva Filipe	  4
                                      TC	                             Pedro Faria	 15
                                      TC	                           Rui Casaleiro	  7
                                    TeoC	                         Adelino Pereira	 17
                                    TeoC	                               Ana Silva	 10
                                    TeoC	                          Duarte Meneses	  3
                                    TeoC	                            Filipe Viana	 15
                                    TeoC	                               Jonas Rua	  5
                                    TeoC	                             Paulo Rocha	 12
                                    TeoC	                             Pedro Faria	 10
                                    TeoC	                           Rui Casaleiro	  8
                                    TeoC	                           Sofia Botelho	 14
                                     TFM	                           Sofia Botelho	  9
                                      TI	                               Ana Silva	 13
                                      TI	                              Eva Filipe	 11
                                      TI	                            Filipe Viana	  4
                                      TI	                            Joana Simoes	  6
                                      TI	                              Joao Artur	 13
                                      TI	                               Jonas Rua	 18
                                      TI	                          Paulo Cortesao	  9
                                      TI	                             Paulo Rocha	 14
                                      TI	                           Sofia Botelho	 10
